"changerate","lastmin","lastmax","valmax","valmin","changepercent","degree"
1400,7160,8110,102331347760,9195272760,18,2
-1480,7960,9160,58085037600,3861810780,-18,-2
-8650,0,34600,46632429750,0,-26,-3
-201,1624,1769,14441723049,631905212,-12,-2
2220,0,8070,21168682270,0,29,3
97,0,3330,16357679860,0,3,1
2140,12090,13350,70545704980,14619114850,16,2
159,1646,2114,34465492120,8167372314,8,1
309,3700,4141,365886539307,65925321513,7,1
103,3901,4350,136145297019,6083202596,2,1
187,3944,4518,59794987850,8094307432,4,1
152,1746,1921,56994929063,16353253086,8,1
302,4630,6330,913746946950,53433560915,7,1
-2570,0,9150,41440210310,0,-30,-3
21,4480,5730,724249909330,64934606444,0,1
77,0,996,83862618732,0,8,1
462,3264,3595,73823958693,6223698935,13,2
117,3970,4100,41739470413,4281336541,3,1
-60,6850,6900,38067149370,10407362540,-1,-1
-189,1040,1168,122167185929,875437024,-17,-2
180,2555,2830,54589463824,4168108770,6,1
433,2450,2663,24045765608,3195881731,17,2
-35,1760,1975,22012589818,155685200,-3,-1
-181,0,2584,50838824586,0,-8,-1
190,10880,11760,47675239110,5428303940,1,1
294,1700,1973,43014729343,5019728162,16,2
790,13960,14720,999534704690,60564396110,5,1
337,3398,3610,34991330253,3488970854,9,1
838,3155,3330,8224017316,611051097,26,3
485,3950,4570,63790056212,6029951807,11,2
-2320,0,10680,119582782270,0,-23,-3
674,2836,3460,56080758387,6262463763,22,3
3770,11320,14800,52366407640,995173450,28,3
558,0,3415,52421611028,0,19,2
769,2941,3194,6768396942,1957113460,25,3
-862,0,2798,10648256273,0,-32,-3
8350,19450,27950,219473986900,5196497250,35,3
71,1847,2258,36158622468,6156136893,2,1
701,2715,3124,37284819270,2991063628,24,3
1560,0,8410,66346648490,0,20,3
-839,0,4379,116878998350,0,-20,-2
1750,6800,7060,5590392950,1234163910,25,3
-1736,3451,4138,9337966377,1764780848,-47,-3
649,3627,3880,27156716366,4601847035,17,2
14850,0,62350,28772340000,0,26,3
-608,4789,5160,117820942550,23579444380,-13,-2
275,0,1532,20009158092,0,19,2
11,1882,2027,4348312707,205402032,0,1
-423,2686,3017,88858924987,6134310659,-15,-2
11180,109400,122480,70244108370,9574380080,9,1
647,4160,4440,51923576191,6225196655,15,2
630,2976,3386,22566525390,3493019157,20,2
563,3080,3860,283753363393,13861065469,17,2
724,0,2865,153686450290,0,28,3
840,8390,9030,43758776530,10004551730,9,1
189,1720,1991,99036110369,4825910490,10,1
395,1869,2217,29282496232,2052237720,19,2
60,1145,1251,24164655623,4638439074,4,1
-340,5680,6510,83681299680,1225780920,-5,-1
